Prices,Reviews,urls,Brand,Processor_Type,RAM_Size,Storage_Capacity,Storage_Type,Screen_Size_Inches,Operating_System,Processor_Generation
39990,4.5,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-np750xgj-lg4in-thin-light-laptop/p/itm1ad811a174c21?pid=COMH4Y6KKRC9YSWE&lid=LSTCOMH4Y6KKRC9YSWERDUMZD&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_fVxUzBzIYyH_BmGZhq9mKqYxWKPdGUYHIkDgzDs8fj6UIahhmKyq-MgWxJ42Jg38EUwgGXLFIEGaT0WkCqHeJ_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=32msfo8cow0000001744324306805&qH=312f91285e048e09,SAMSUNG,Intel Core i3,8 GB LPDDR4X RAM,512 GB,SSD,15.6,Windows 11,13th Gen
154990,4.5,https://www.flipkart.com/samsung-galaxy-book5-360-ai-pc-full-metal-chasis-intel-core-ultra-7-258v-32-gb-1-tb-ssd-windows-11-home-np750qha-2-1-laptop/p/itm9c70697149bf4?pid=COMH9PHPXDRZ34KK&lid=LSTCOMH9PHPXDRZ34KKRLF6DF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_fVxUzBzIYyH_BmGZhq9mKqYxWKPdGUYHIkDgzDs8fj4mJkcaVa4xkRc4kcFXUmLdCmKBzh2iTsUk_tjoAkvCPPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=32msfo8cow0000001744324306805&qH=312f91285e048e09,SAMSUNG,Intel Core Ultra,32 GB LPDDR5X RAM,1 TB,SSD,15.6,Windows 11,Not Available
52990,4.4,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg2in-np750xgj-lg2in-thin-light-laptop/p/itm820dc496ef160?pid=COMGZUYDGFJGHZR4&lid=LSTCOMGZUYDGFJGHZR4JPVIN2&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=default_FkPickId_6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=9ee67343-6a3b-4761-93e4-77c97f18158f.COMGZUYDGFJGHZR4.SEARCH&ppt=None&ppn=None&ssid=32msfo8cow0000001744324306805&qH=312f91285e048e09,SAMSUNG,Intel Core i5,16 GB LPDDR4X RAM,512 GB,SSD,15.6,Windows 11,13th Gen
57990,4,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i7-13th-gen-1355u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg3in-np750xgj-lg3in-thin-light-laptop/p/itm820dc496ef160?pid=COMGZUYDYPUZAAXD&lid=LSTCOMGZUYDYPUZAAXDBMAOEF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=9ee67343-6a3b-4761-93e4-77c97f18158f.COMGZUYDYPUZAAXD.SEARCH&ppt=None&ppn=None&ssid=32msfo8cow0000001744324306805&qH=312f91285e048e09,SAMSUNG,Intel Core i7,16 GB LPDDR4X RAM,512 GB,SSD,15.6,Windows 11,13th Gen
39990,3.7,https://www.flipkart.com/acer-aspire-lite-amd-ryzen-7-octa-core-5700u-16-gb-512-gb-ssd-windows-11-home-al15-41-thin-light-laptop/p/itm1bc0bcb4598e7?pid=COMHY74JVWWHKWKA&lid=LSTCOMHY74JVWWHKWKAO8L4DP&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=9ee67343-6a3b-4761-93e4-77c97f18158f.COMHY74JVWWHKWKA.SEARCH&ppt=None&ppn=None&ssid=32msfo8cow0000001744324306805&qH=312f91285e048e09,Acer,AMD Ryzen 7,16 GB DDR4 RAM,512 GB,SSD,15.6,Windows 11,Not Available
16990,3.8,https://www.flipkart.com/chuwi-intel-celeron-dual-core-11th-gen-n4020-8-gb-256-gb-ssd-windows-11-home-herobook-pro-laptop/p/itm5e1f327988402?pid=COMGQHMZWHRXFWET&lid=LSTCOMGQHMZWHRXFWETVNWSPG&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=en_fVxUzBzIYyH_BmGZhq9mKqYxWKPdGUYHIkDgzDs8fj4dsfWhSkzuUOtAvYRbgcw3iSwInuI42ika_UQwDqGj1Q%3D%3D&ppt=None&ppn=None&ssid=32msfo8cow0000001744324306805&qH=312f91285e048e09,CHUWI,Intel Celeron Dual,8 GB DDR4 RAM,256 GB,SSD,14.1,Windows 11,11th Gen
15990,4.3,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-128-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZGGGWQC4W&lid=LSTCOMH7NCZGGGWQC4WZOS2IO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=9ee67343-6a3b-4761-93e4-77c97f18158f.COMH7NCZGGGWQC4W.SEARCH&ppt=None&ppn=None&ssid=32msfo8cow0000001744324306805&qH=312f91285e048e09,Acer,Intel Celeron Dual,8 GB DDR4 RAM,128 GB,SSD,11.6,Windows 11,Not Available
39490,4.3,https://www.flipkart.com/lenovo-v-14-2025-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itm06121c218e9d8?pid=COMH96WZ87KS36TT&lid=LSTCOMH96WZ87KS36TTPF8VEI&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=9ee67343-6a3b-4761-93e4-77c97f18158f.COMH96WZ87KS36TT.SEARCH&ppt=None&ppn=None&ssid=32msfo8cow0000001744324306805&qH=312f91285e048e09,Lenovo,Intel Core i5,16 GB DDR4 RAM,512 GB,SSD,14.0,Windows 11,12th Gen
64990,4.4,https://www.flipkart.com/lenovo-ideapad-slim-5-co-pilot-pc-snapdragon-x-plus-16-gb-1-tb-ssd-windows-11-home-14q8x9-thin-light-laptop/p/itm8a59041fc8c0f?pid=COMH4N9CZ7JKPQQC&lid=LSTCOMH4N9CZ7JKPQQCOFLXDU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=9ee67343-6a3b-4761-93e4-77c97f18158f.COMH4N9CZ7JKPQQC.SEARCH&ppt=None&ppn=None&ssid=32msfo8cow0000001744324306805&qH=312f91285e048e09,Lenovo,Not Available,16 GB LPDDR5X RAM,1 TB,SSD,14.0,Windows 11,Not Available
44990,4.2,https://www.flipkart.com/acer-aspire-3-intel-core-i5-13th-gen-1334u-16-gb-512-gb-ssd-windows-11-home-a324-53-thin-light-laptop/p/itm707770fddc7e9?pid=COMH4B6CGZKHKUV3&lid=LSTCOMH4B6CGZKHKUV37HVWQK&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=9ee67343-6a3b-4761-93e4-77c97f18158f.COMH4B6CGZKHKUV3.SEARCH&ppt=None&ppn=None&ssid=32msfo8cow0000001744324306805&qH=312f91285e048e09,Acer,Intel Core i5,16 GB DDR4 RAM,512 GB,SSD,14.0,Windows 11,13th Gen
